_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,negative_yn,negative_yn:confidence,thoughtcat,thoughtcat:confidence,id,negative_yn_gold,num,num2,text,thoughtcat_gold,time
1562458583,false,finalized,5,1/27/2018 10:31:29,no,1.0,,,,,,,"~ Can You See? My Eyes Are Shining Bright, 'Cause I'm Out Here On The Other Side Of A Jet Black Hotel Mirror ~",,
1562458584,false,finalized,3,1/28/2018 14:18:36,yes,0.6689,1,0.6689,,,,,has never walked for so long in such heavy rain and been so amazingly drenched... not to mention the two guys who walked in on me changing with beer in their hands...,,
1562458585,false,finalized,3,1/27/2018 18:45:13,no,1.0,,,,,,,has been tasked with making 'ninja boots' for his daughter.  This apparently requires an awl and an x-acto knife to achieve 'maximum ninjafulness',,
1562458586,false,finalized,3,1/27/2018 17:30:07,no,0.672,,0,,,,,I've got to follow my heart No matter how far I've gotta roll the dice Never look back and never think twice,,
1562458587,false,finalized,3,1/27/2018 13:31:45,no,1.0,,,,,,,"Of anlamadim gitti. Nedir bu /1 Kadin 1 Erkek/"" dizisine olan duskunluk? Yillarin dizisi herkesin simdi mi aklina geldi? Bu ne?""",,
1562458588,false,finalized,4,1/27/2018 10:34:10,no,0.7439,,0,,,,,"Did you say it? /I love you... I don't ever want to live without you... You changed my life.../"" Did you say it? Make a plan... Set a goal... Work toward it... But every now and again",,
1562458589,false,finalized,3,1/29/2018 18:13:01,yes,1.0,3,0.6268,,,,,"sorry guys,... Just need time to blow off steam. Got some personal issues and other things just happen to set me off. Ill get back on when I have a more clear head.  L8rs",,
1562458590,false,finalized,3,1/28/2018 12:55:42,no,0.6411,,0,,,,,"T'was a fight at school today... (around 2:30-ish)-- One 7th grader was punching another, and the other one threw a Gatorade bottle at him. The one who started punching first started chasing the other one into the office. Mrs. Perry sent me to get Mr. Almy... and you can guess what happened next... (lol, people were cheering when the fight started.)",,
1562458591,false,finalized,3,1/27/2018 13:34:43,mixed,0.6581,1,0.6581,,,,,"I love watching Tyler Perry Movies.  My favorite quote: Someone slaps your cheek, Christians say turn the other cheek, and it gets slapped again, How many slaps it take before you reach out and BUST THIER ASS?  - Madea Simmons",,
1562458593,false,finalized,3,1/28/2018 16:25:53,yes,1.0,3,1.0,,,,,"/Many of us spend our whole lives running from feeling with the mistaken belief that you cannot bear the pain. But you have already borne the pain. What you have not done is feel all you are beyond the pain./""   -Bartholomew""",,
1562458594,false,finalized,3,1/27/2018 16:16:33,yes,1.0,1,1.0,,,,,"Hey Gang, Here is a thought.... let's all write the governor and recommend that he and the state withhold the state assembly and senate pay until they go back to work!  I doubt very much that any of us would get paid (much less keep our jobs) if we just s",,
1562458595,false,finalized,3,1/27/2018 16:23:02,mixed,1.0,1,1.0,,,,,"can not wait to go to Six Flags with Kevin this Saturday. Too bad family & Uncle will be with....but, it will be my birthday. :D",,
1562458596,false,finalized,3,1/27/2018 15:34:34,no,0.6724,,0,,,,,is thinking of standing on the side of the highway exit with a cardboard sign asking for donations to help remodel the kitchen.,,
