text,negative_yn_self,distortion_yn,magnitude,distortion_category,negative_yn.y,thoughtcat,userid,Positive,Negative
"-->[PHONE]<-- to reduce my bill [by quite bit] got rid of ALL minutes...it IS still possible to call me, but since it's $. //min, even less likely to answer now than before... so PLEASE use text//email//IM [all still unlimited]... if you need to call, my alternate # - - is free for INCOMING calls [not cell tho~it's on my computer]",2,2,,,no,NA,cf5a3f66c42918587a1428a6f7d7eec9,3,-2
-.- I'm okay... Just fine... @.@ Why do bother lying to myself!? AAAAAAAHHH!!! DON'T WANNA DO THAT LONG ORAL! >.> I-I-I'M SICK! THE TIRE BLEW OUT! >.< PIRATES COMMANDEERED THE LIFE-RAFT AND CAN'T SWIM! I'LL DROWN WHEN THE SHIP GOES DOWN! NNNNYYYYYYOOOOOOOUUUU! ... -.- But seriously I'm okay. My panic switch is in the off position. <.< It just looks like its on because it's an optic illusion...,1,2,4,,yes,1,d2fd0e6603da3520e02315e11b009fbf,3,-5
-.-/ Jay's friends are dorks... But that's what make them seem like they act cute. don't know about you Jenn,2,2,,,no,NA,2a9b90b41e9399bb331fef2582f657c3,2,-3
"-/Are you guys ready?/"" -/""oh fuck no./"" -/""Oh we are so gonna regret this tomorrow./"" -/""If there even is tomorrow./"" -/""Dude",1,2,2,,yes,1,61e7f6145fd03d709cabbde3faf33412,1,-3
"; Its not simple hearing but not so soon. might've fallen for that when was fourteen, and little more green. But its amazing what couple of years could mean.",2,2,,,no,NA,193165601dfad67e79ef52b2caf9fd9e,3,-1
"; letting go of the things we once love is not sign of weakness or that you are giving up, its to show that we understand things are just not meant to be.",2,2,,,yes,1,193165601dfad67e79ef52b2caf9fd9e,3,-2
"; was being fooled, thanks. All this while, didn't even know who you actually were. But finally know now. You don't know love, so don't claim you do. It sickens the rest of us, pathetic really.",1,1,4,mind-reading,yes,1,193165601dfad67e79ef52b2caf9fd9e,3,-4
": /Independent variables often get lonely and want to have friends/""...*giggle*.../""Scientists are obliging individuals and often put second independent variable into their designs to keep the others company/""...*silence",2,2,,,yes,1,39b2af957c2488970cb89c161b6bf94e,3,-2
": < One of my best friends, and it makes me sad that we don't see each other much any more.. D: love your cheerfulness and your little spontaneous moments, and you have great singing voice~ :D have tons of great memories of you, and you always know how to cheer me up~ :",2,2,,,yes,1,NA,3,-4
": After hours of sleep and getting my head around mind fuck of an experiment, don't really have anything to lose for the rest of the day!",1,2,1,,yes,1,39b2af957c2488970cb89c161b6bf94e,1,-4
": Everything is so still outside today. It's unnerving, like something's waiting around the corner...",1,1,3,emotional reasoning,yes,1,39b2af957c2488970cb89c161b6bf94e,2,-1
": found some shoes in the play park! They're so cute, and are forming part of my shoot for the day :D",2,2,,,yes,1,39b2af957c2488970cb89c161b6bf94e,2,-2
": Friendship foil! And the horrible fashion mistakes we both made in th grade, haha. miss when you would sleep over at my house all the time too. Also, Inscription of Hope; we rocked that song and I've had it stuck in my head all week.",2,2,,,yes,1,NA,2,-4
": had lovely meal with Faseeha Hussain and Sarah Pearce, and an additional surprise of seeing Rima Gehlot and Elvina Christopher!! Great to see you :D xx",2,2,,,no,NA,39b2af957c2488970cb89c161b6bf94e,3,-1
": I've seen angels fall from blinding heights, but you yourself are nothing so divine. Just next in line",2,2,,,yes,1,39b2af957c2488970cb89c161b6bf94e,2,-2
: in the morning and what am doing? Helping one of my best friends with their summer homework -.- Funnnn sometimes hate being smart :P lol,2,2,,,yes,1,NA,3,-3
