text,userid,negative_yn_self,distortion_yn,quote,magnitude,distortion.category,negative_yn.y,Positive,Negative
arrange marriage means ppl walking and unfortunately snake bites... and love marriage means ppl go to the snake say... KAAT LE KAAT LE....!,49fb9fce8f4dc022318b8cd432aad8b6,1,1,,2,negative filter,no,3,-2
"I messed up so bad and said things didn't mean to say :( what can i do to fix everything. All my life break things and try to put them back together, don't wanna break anything anymore :'( baby love you Diana Campero Vigueras <",1729ac1c5673a08e2d6b6326f5ad5537,1,1,,4,labeling/all-or-nothing,yes,3,-2
< |I'm gonna live|I'm gonna survive|Don't want the world to pass me by|I'm gonna dream|I aint gonna die|Thinking my life was just lie|I wanna be loved| <,cb02460576e27f95654a9a0ef548fe5b,1,2,y,3,,yes,4,-3
"||if home's where my heart is then I'm out of place| Lord, won't You give me strength to make it through somehow| I've never been more homesick than now| help me Lord, cuz don't understand Your ways...|| <",cb02460576e27f95654a9a0ef548fe5b,1,2,,2,,yes,1,-3
"Ah, the joy of seeing movie that nobody ACTUALLY wanted to see. Thank you Emilio, Marlee, Taylor Trujillo, and Andy O'Cana for at least making it fun anyway! <",82e932005d8c94bb93bcb54fa19f421c,1,2,,1,,no,3,-1
"Been awake since am from migrane. Worked for hours. Now I'm home and I'm staying in my room to get some rest. hate drama queens. I'm so over it. love you Brandon Gilmore! You are the absolute love of my life! Katie and Madeline, you are both wonderful <",c0289bdb4cd4eda90653b2c84af61e03,1,2,,2,,yes,4,-4
"Big-Boy aka Sebastian, was just put down. (He is with all his siblings now) My hope of him just having an absest all this time was wrong; it was really bad jaw cancer. He is going to be cremated on Thursday. really wish i could just see every one and get hug. miss you all. <",84d1a2573b06e86b12370ce2c7563117,1,2,,4,,yes,3,-4
"did lots of stuff today. got to meet cassie's boyfriend, got to see candi and her kid kaden, celebrated candi's and my dad's birthday, screwed around with my brother, and got annoyed by my sister. Still feels like im missing something... but that was my d",dbd7fba7e17bf39251d01d88dd758c34,1,2,,2,,yes,2,-3
Got a painful reminder of why I REALLY dislike my little sister...and why I have to keep my room locked at all times...,7e0954e34b5af347696eb260230bccda,1,2,,4,,yes,1,-4
hates having to run around all day feeling drained of life right now tired and can't sleep that well too exstied wa only less that 3 days,8a1a51c3dbe523dabb759504be82db4b,1,2,,3,,yes,1,-4
"How wish, how wish you were here; we're just two lost souls swimming in fish bowl, year after year. <",eaeabcfe25866f0455d349bae2450d88,1,2,y,2,,yes,1,-1
"I have just rang in sick for tomorrow which would not be so bizare if wasn't working today, well running on tramadol and high octane coffee, haven't slept but can test to the pain killing properties of Little Big Planet",2549774d68d7ccbcba069afb45c7e237,1,2,,3,,no,1,-4
"I'm super tired and hungry! I'm debating between going home (15 min walk) and eat or just buy something here at school and eat once i get out of work... and then come back for class @ 6... :-(. If I leave, I might not come back???",b76fa5fcca4d6ae77eeee584318f0c87,1,2,,2,,yes,1,-4
"If could, would take all of your pain away, every last drop of it and carry it with me for the rest of my life, just so you would be happy. And would be happy, just to see you happy... My heart is sore and broken, bleeding inside and tearing apart.",8c393982479748c5a53acaa7a3717c71,1,2,,4,,no,2,-4
"is SOOO EXCITED that I am moving this week!!! SOOO NOT happy about living out of boxes for the last week and a half. Its like you need a little something out of each box, and I didn't pack a lot of stuff on purpose because I thought I would need it!!! PS: the sod is down, and the house looks great!",b573cfeb6ec090948d454b1a0441376b,1,2,,2,,yes,4,-1
NO fair!!! I jsut got sick over the weekend & now everyone who wasn't sick last wk is sick this wk!!! THis is some real BS!!!,772b14ee8620c09f94102a9286c882f1,1,2,,4,,yes,3,-3
"The melancholic eyes of traitor. Looking down, avoidning reality's gaze. Heavy fog around glassy stares. Blank but longing looks out the window. Waiting patiently...<",05a1a1b67e3d7a923f9d0ee5502757c0,1,2,,1,,yes,1,-4
"Unfortunately most women won't re-post this. I'm strong willed, independent, a bit outspoken, and I tell it like like it is. I make mistakes, I am sometimes out of control and at times hard to handle, but I love and give with all my heart. If you can't handle me at my worst, then you sure don't deserve me at my best. If you are a HANDFUL, re-post!",19086fa4d04d7203f0b7702f0a76de45,1,2,,2,,yes,3,-3
": < One of my best friends, and it makes me sad that we don't see each other much any more.. D: love your cheerfulness and your little spontaneous moments, and you have great singing voice~ :D have tons of great memories of you, and you always know how to cheer me up~ :",eaeabcfe25866f0455d349bae2450d88,2,2,,NA,,yes,3,-4
": Friendship foil! And the horrible fashion mistakes we both made in th grade, haha. miss when you would sleep over at my house all the time too. Also, Inscription of Hope; we rocked that song and I've had it stuck in my head all week.",3ac58ad39d81acfe169aadc4815effe6,2,2,,NA,,yes,2,-4
: in the morning and what am doing? Helping one of my best friends with their summer homework -.- Funnnn sometimes hate being smart :P lol,8c393982479748c5a53acaa7a3717c71,2,2,,NA,,yes,3,-3
*playing cards* lavi: dang it allen how do you always win! *kanda hits allen on top of his head* allen : what was that for!? me: you cheated,cd86d1e6d68c3770eaec0db419dceb2f,2,2,,NA,,no,3,-3
// Because have shared with enough people now that might as well just go all the way. It feels good.,e076953cd3fcf8927b8f21574c0890f3,2,2,,NA,,yes,3,-1
Buddy doing better- might be able to go to my dance lesson after all!! :D *crosses fingers and toes* Also thinking might go ahead and get my hair chopped off soon! Locks of Love can just sell if it's too short anyway.,29cda473b52e1c75fbfe958ed3aec565,2,2,,NA,,yes,3,-1
DAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYYYYYYYYYYYYYYYYYYYYYYZZZZZZZZZZZZ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,d67916bbf6453cfebbd8689f7556e526,2,2,,NA,,mixed,3,-1
"Dear Amy Lee; Thanks for writing the soundtrack of my life, and doing it so much better than ever would. love you girl! <",c3dcf614104a24210bfac607cd63a9f2,2,2,,NA,,no,4,-1
"fed the calf, ran with him, has a few more things to do on the list, is gonna read, relax, have fun, and then go to thespian meeting and show choir :D",e068f5b5c8f3dc5afe97d2f457de734b,2,2,,NA,,no,3,-1
Feels quite bit better for now. I'll never grow tired of hearing you say those words. :) my mom is back and seems fine Yay :D \n<You're Mine,8c393982479748c5a53acaa7a3717c71,2,2,,NA,,no,3,-2
Had a great day today in Africa!!! saw the wealth and the poverty. Met Afrikaans and met Africans. Ha look it up if you don't know...,8ac3faf435c01b3c9ebc368dfdfb24fa,2,2,,NA,,no,4,-2
"had wonderful, beautiful day. It included love, ice cream, yoga, love, friends, indian dinner, key lime pie, love, and family. <",1e84bfe1c9bbd549913aad1bc57c8878,2,2,,NA,,yes,4,-1
"Hm'k, truthfully, Naka wasn't all expected it to be. But still had good time. Science City was lot of fun, and Kabuki's, too. Plus, got to spend the weekend with my most bestest friends. So, it's all good~ c: Next on the FunTiems calendar: Day of Dance with Gill and Chase. :",2fba0f9dccc84f3516d8b553426af527,2,2,,NA,,no,3,-1
"Huge congrats to my sis and bro-in-law, Doris and Mario Hernandez on the arrival of their perfect little baby girl last night, th sep at . pm, weighing . kg and . tall. So proud of my sister, she did so well! and baby girl is beautiful! :) <",d5380466e18422d7b2c2d54d57cbbde2,2,2,,NA,,no,4,-1
"I am hoping that there is a gate and and a house where there shall be no darkness nor dazzling, but one equal light; no noise nor silence, but one equal music; no fears nor hopes, but one equal possession; no ends nor beginnings, but one equal eternity . . . .",f1b9957ad9d63642c7b04fb8a30aaf9a,2,2,,NA,,no,2,-3
I cant wait till tomoz. Afternoon with friends will be amazing and the evening with family and friends . It will indeed be nice yeyyyyyyyyyyy,5a101c5f310d164214e527722d0df685,2,2,,NA,,yes,3,-1
i got the job for the rest of december and maybe i could get paid after my time and actualy work. lets see if they like me. i shouldnt worry. start saturday to,b5e0570319ccd1001134bb7060a676cf,2,2,,NA,,yes,2,-1
